contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TLT280121C00045000,2026-06-11 14:03:44+00:00,45.0,40.4,38.5,43.5,0.0,0.0,2,12,0.46594772338867196,True,REGULAR,USD,call
TLT280121C00050000,2026-06-16 17:12:41+00:00,50.0,36.35,33.5,38.5,0.0,0.0,18,47,0.40515731567382807,True,REGULAR,USD,call
TLT280121C00055000,2026-03-04 15:34:19+00:00,55.0,34.35,0.0,0.0,0.0,0.0,1,0,1.0000000000000003e-05,True,REGULAR,USD,call
TLT280121C00060000,2026-06-18 19:22:22+00:00,60.0,26.74,23.5,28.5,0.0,0.0,23,136,0.2988961712646484,True,REGULAR,USD,call
TLT280121C00065000,2026-06-18 13:31:19+00:00,65.0,22.2,19.7,23.5,0.0,0.0,1,463,0.25110612182617187,True,REGULAR,USD,call
TLT280121C00070000,2026-06-22 19:36:12+00:00,70.0,16.26,16.15,17.0,-0.65999985,-3.9007082,42,3335,0.1447229083251953,True,REGULAR,USD,call
TLT280121C00075000,2026-06-22 15:19:02+00:00,75.0,12.0,11.8,12.15,-0.32999992,-2.6763985,54,5412,0.1147549462890625,True,REGULAR,USD,call
TLT280121C00078000,2026-06-22 15:00:06+00:00,78.0,9.73,9.45,9.85,-0.4800005,-4.701278,53,1735,0.11518218811035157,True,REGULAR,USD,call
TLT280121C00079000,2026-06-10 19:45:14+00:00,79.0,8.33,8.75,9.15,0.0,0.0,3,174,0.11560942993164064,True,REGULAR,USD,call
TLT280121C00080000,2026-06-22 20:01:52+00:00,80.0,8.25,8.3,8.45,-0.39999962,-4.6242733,1706,19070,0.11512115356445313,True,REGULAR,USD,call
TLT280121C00081000,2026-06-17 19:17:17+00:00,81.0,7.87,7.4,7.8,0.0,0.0,6,4839,0.11518218811035157,True,REGULAR,USD,call
TLT280121C00082000,2026-06-22 17:33:13+00:00,82.0,7.05,6.8,7.2,-0.60999966,-7.9634423,25,963,0.1157314990234375,True,REGULAR,USD,call
TLT280121C00083000,2026-06-22 16:51:42+00:00,83.0,6.48,6.25,6.65,-0.42000008,-6.0869575,315,1476,0.11661649993896485,True,REGULAR,USD,call
TLT280121C00084000,2026-06-18 16:56:03+00:00,84.0,5.97,5.75,6.15,-0.41000032,-6.426337,1,6201,0.11789822540283201,True,REGULAR,USD,call
TLT280121C00085000,2026-06-22 19:53:34+00:00,85.0,5.52,5.25,5.7,-0.2800002,-4.8275895,272,24815,0.11957667541503905,True,REGULAR,USD,call
TLT280121C00086000,2026-06-22 19:18:36+00:00,86.0,5.0,4.8,5.1,-0.3000002,-5.660381,192,8885,0.11695218994140624,True,REGULAR,USD,call
TLT280121C00087000,2026-06-18 19:19:12+00:00,87.0,4.8,4.35,4.7,0.0,0.0,71,12373,0.1183254672241211,False,REGULAR,USD,call
TLT280121C00088000,2026-06-22 19:17:07+00:00,88.0,4.05,3.95,4.15,-0.5499997,-11.956515,26,9440,0.11548736083984376,False,REGULAR,USD,call
TLT280121C00089000,2026-06-18 15:13:33+00:00,89.0,4.2,3.55,3.9,0.0,0.0,17,9714,0.11890529541015624,False,REGULAR,USD,call
TLT280121C00090000,2026-06-22 20:10:41+00:00,90.0,3.3,3.2,3.4,-0.35000014,-9.589045,1960,40491,0.11582305084228516,False,REGULAR,USD,call
TLT280121C00091000,2026-06-17 15:05:02+00:00,91.0,3.13,2.82,3.15,0.0,0.0,26,13207,0.11798977722167968,False,REGULAR,USD,call
TLT280121C00092000,2026-06-18 15:17:50+00:00,92.0,3.04,2.5,2.83,0.0,0.0,47,17224,0.11783719085693359,False,REGULAR,USD,call
TLT280121C00093000,2026-06-22 19:51:35+00:00,93.0,2.38,2.21,2.37,-0.26999998,-10.188678,331,10154,0.11341218627929686,False,REGULAR,USD,call
TLT280121C00094000,2026-06-22 19:26:13+00:00,94.0,2.13,1.96,2.12,-0.43999982,-17.120615,15,6080,0.11365632446289062,False,REGULAR,USD,call
TLT280121C00095000,2026-06-22 20:06:27+00:00,95.0,1.92,1.75,1.92,-0.22000015,-10.28038,2387,19391,0.11463287719726564,False,REGULAR,USD,call
TLT280121C00096000,2026-06-18 17:59:31+00:00,96.0,1.91,1.58,1.76,0.0,0.0,32,3979,0.116219775390625,False,REGULAR,USD,call
TLT280121C00097000,2026-06-22 16:36:59+00:00,97.0,1.59,1.4,1.74,-0.19999993,-11.173181,100,427,0.12152978088378906,False,REGULAR,USD,call
TLT280121C00098000,2026-06-22 14:34:09+00:00,98.0,1.41,1.36,1.6,-0.060000062,-4.081637,1,3245,0.12299460998535157,False,REGULAR,USD,call
TLT280121C00099000,2026-06-22 19:57:39+00:00,99.0,1.27,1.25,1.29,-0.13999999,-9.929077,7,1275,0.11841701904296875,False,REGULAR,USD,call
TLT280121C00100000,2026-06-22 19:18:03+00:00,100.0,1.18,1.17,1.37,-0.120000005,-9.230769,2193,78501,0.1263515100097656,False,REGULAR,USD,call
TLT280121C00101000,2026-06-22 15:38:25+00:00,101.0,1.08,0.95,1.28,-0.14999998,-12.19512,1,9619,0.1283046154785156,False,REGULAR,USD,call
TLT280121C00102000,2026-06-22 15:55:49+00:00,102.0,1.0,0.88,1.19,-0.25,-20.0,27,6886,0.13001358276367186,False,REGULAR,USD,call
TLT280121C00105000,2026-06-22 19:51:51+00:00,105.0,0.81,0.72,1.0,-0.050000012,-5.8139544,34,174355,0.13648324462890626,False,REGULAR,USD,call
TLT280121C00110000,2026-06-22 18:41:59+00:00,110.0,0.58,0.6,0.7,-0.050000012,-7.9365096,73,20102,0.1431970446777344,False,REGULAR,USD,call
TLT280121C00115000,2026-06-22 15:22:20+00:00,115.0,0.59,0.43,0.59,0.089999974,17.999994,24,8614,0.15515981567382814,False,REGULAR,USD,call
TLT280121C00120000,2026-06-22 19:44:10+00:00,120.0,0.42,0.37,0.49,0.01999998,4.999995,123,172799,0.165047412109375,False,REGULAR,USD,call
TLT280121C00125000,2026-06-22 14:49:24+00:00,125.0,0.32,0.25,0.46,-0.04000002,-11.111116,10,5694,0.17786466674804688,False,REGULAR,USD,call
TLT280121C00130000,2026-06-22 15:22:50+00:00,130.0,0.33,0.28,0.36,0.01000002,3.1250064,308,70949,0.18335777587890623,False,REGULAR,USD,call
TLT280121C00135000,2026-06-22 19:52:52+00:00,135.0,0.27,0.25,0.3,-0.01999998,-6.8965454,431,62826,0.1901936450195313,False,REGULAR,USD,call
TLT280121P00045000,2026-06-18 18:59:30+00:00,45.0,0.05,0.0,0.18,0.0,0.0,31,5532,0.2602613037109375,False,REGULAR,USD,put
TLT280121P00050000,2026-06-22 13:30:01+00:00,50.0,0.18,0.07,0.21,0.09,99.99999,1,15893,0.2280350634765625,False,REGULAR,USD,put
TLT280121P00055000,2026-06-22 19:51:21+00:00,55.0,0.16,0.13,0.28,0.0,0.0,9,3002,0.20313296874999998,False,REGULAR,USD,put
TLT280121P00060000,2026-06-18 16:56:46+00:00,60.0,0.26,0.26,0.35,0.0,0.0,800,4551,0.176766044921875,False,REGULAR,USD,put
TLT280121P00065000,2026-06-18 18:22:10+00:00,65.0,0.41,0.41,0.45,0.0,0.0,137,5912,0.15223015747070315,False,REGULAR,USD,put
TLT280121P00070000,2026-06-22 18:13:09+00:00,70.0,0.73,0.7,0.85,0.060000002,8.955224,353,12597,0.14234256103515625,False,REGULAR,USD,put
TLT280121P00075000,2026-06-22 17:56:20+00:00,75.0,1.31,1.15,1.35,0.14999998,12.931033,1822,23940,0.12610737182617188,False,REGULAR,USD,put
TLT280121P00078000,2026-06-22 15:07:16+00:00,78.0,1.8,1.7,1.96,0.13,7.7844315,223,49202,0.12165184997558594,False,REGULAR,USD,put
TLT280121P00079000,2026-06-18 19:02:22+00:00,79.0,1.89,1.9,2.21,0.0,0.0,30,46312,0.12024805541992187,False,REGULAR,USD,put
TLT280121P00080000,2026-06-22 19:36:56+00:00,80.0,2.3,2.17,2.3,0.14999986,6.976737,236,32985,0.11383942810058593,False,REGULAR,USD,put
TLT280121P00081000,2026-06-22 19:59:29+00:00,81.0,2.61,2.49,2.62,0.16999984,6.9672065,1433,5829,0.11316804809570313,False,REGULAR,USD,put
TLT280121P00082000,2026-06-22 19:14:50+00:00,82.0,3.02,2.87,3.15,0.25,9.02527,22,1775,0.11701322448730468,False,REGULAR,USD,put
TLT280121P00083000,2026-06-22 19:46:55+00:00,83.0,3.36,3.3,3.55,0.29999995,9.803921,24,5664,0.1167080517578125,False,REGULAR,USD,put
TLT280121P00084000,2026-06-22 15:12:06+00:00,84.0,3.73,3.6,3.95,0.30999994,9.064325,21,3667,0.11560942993164064,False,REGULAR,USD,put
TLT280121P00085000,2026-06-22 20:03:11+00:00,85.0,4.33,4.3,4.4,0.26999998,6.650246,31,16446,0.11493804992675781,False,REGULAR,USD,put
TLT280121P00086000,2026-06-22 20:04:41+00:00,86.0,4.75,4.75,4.95,0.3499999,7.9545436,58,13610,0.1159146026611328,False,REGULAR,USD,put
TLT280121P00087000,2026-06-22 20:03:38+00:00,87.0,5.2,5.05,5.35,0.25,5.050505,1,7679,0.11261873718261718,True,REGULAR,USD,put
TLT280121P00088000,2026-06-18 16:16:12+00:00,88.0,5.46,5.55,5.95,0.0,0.0,33,9082,0.11322908264160156,True,REGULAR,USD,put
TLT280121P00089000,2026-06-18 13:30:03+00:00,89.0,6.1,6.1,6.45,0.0,0.0,8,764,0.11081821807861328,True,REGULAR,USD,put
TLT280121P00090000,2026-06-22 15:24:55+00:00,90.0,6.85,6.7,7.05,0.19999981,3.007516,20,15051,0.10996373443603515,True,REGULAR,USD,put
TLT280121P00091000,2026-06-18 18:22:58+00:00,91.0,7.2,7.3,7.75,0.0,0.0,120,188,0.11078770080566405,True,REGULAR,USD,put
TLT280121P00092000,2026-06-18 14:34:41+00:00,92.0,7.7,7.95,8.35,0.0,0.0,11,472,0.10846838806152344,True,REGULAR,USD,put
TLT280121P00093000,2026-05-22 13:39:28+00:00,93.0,10.75,8.65,9.05,0.0,0.0,3,65,0.10785804260253906,True,REGULAR,USD,put
TLT280121P00094000,2026-06-17 19:54:57+00:00,94.0,9.45,9.35,9.8,0.0,0.0,15,89,0.10785804260253906,True,REGULAR,USD,put
TLT280121P00095000,2026-06-17 19:50:08+00:00,95.0,10.4,10.15,10.55,0.39999962,3.9999962,2,1215,0.1071256280517578,True,REGULAR,USD,put
TLT280121P00096000,2026-06-22 18:09:13+00:00,96.0,11.1,10.95,11.35,-0.8999996,-7.4999967,2416,5296,0.10718666259765625,True,REGULAR,USD,put
TLT280121P00097000,2026-04-21 14:28:04+00:00,97.0,12.57,11.0,16.0,0.0,0.0,5,69,0.20941952697753902,True,REGULAR,USD,put
TLT280121P00098000,2026-06-17 16:50:51+00:00,98.0,12.74,12.6,13.0,0.0,0.0,2,6,0.1069425244140625,True,REGULAR,USD,put
TLT280121P00099000,2026-06-18 15:59:58+00:00,99.0,13.1,13.45,13.9,0.0,0.0,7,21,0.10852942260742188,True,REGULAR,USD,put
TLT280121P00100000,2026-06-22 15:30:22+00:00,100.0,14.5,13.9,14.75,0.39999962,2.8368766,1,10256,0.1077359735107422,True,REGULAR,USD,put
TLT280121P00101000,2026-06-16 14:52:00+00:00,101.0,15.8,14.3,15.65,0.0,0.0,1,43,0.10828528442382812,True,REGULAR,USD,put
TLT280121P00102000,2026-06-12 19:02:37+00:00,102.0,16.85,14.0,17.55,0.0,0.0,33,89,0.14600463378906248,True,REGULAR,USD,put
TLT280121P00105000,2026-06-17 19:50:08+00:00,105.0,18.65,18.6,19.4,0.0,0.0,2,2261,0.11341218627929686,True,REGULAR,USD,put
TLT280121P00110000,2026-06-17 13:52:05+00:00,110.0,23.9,21.5,26.5,0.0,0.0,15,334,0.21509573974609375,True,REGULAR,USD,put
TLT280121P00115000,2026-06-15 16:26:19+00:00,115.0,29.32,26.5,31.5,0.0,0.0,10,3093,0.2373733489990234,True,REGULAR,USD,put
TLT280121P00120000,2026-06-02 13:57:48+00:00,120.0,34.26,31.5,36.5,0.0,0.0,36,9,0.2578809564208985,True,REGULAR,USD,put
TLT280121P00125000,2026-06-18 14:06:09+00:00,125.0,38.18,37.4,41.5,0.0,0.0,1,17,0.2770458038330078,True,REGULAR,USD,put
TLT280121P00130000,2026-06-01 16:53:08+00:00,130.0,44.8,41.5,46.5,0.0,0.0,1,0,0.29492892578124996,True,REGULAR,USD,put
TLT280121P00135000,2026-06-04 18:34:00+00:00,135.0,49.6,46.5,51.5,0.0,0.0,2,31,0.3117134259033203,True,REGULAR,USD,put
