contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TLT270115C00045000,2026-08-21 17:59:52+00:00,45.0,37.0,35.05,37.85,-0.47000122,-1.25434,1.0,5,0.6477086010742188,True,REGULAR,USD,call
TLT270115C00050000,2026-08-12 19:15:01+00:00,50.0,32.3,30.05,33.35,0.0,0.0,8.0,27,0.6264685791015626,True,REGULAR,USD,call
TLT270115C00055000,2026-08-03 15:30:13+00:00,55.0,27.4,25.05,28.35,0.0,0.0,2.0,6,0.5300339965820313,True,REGULAR,USD,call
TLT270115C00060000,2026-08-13 17:23:01+00:00,60.0,22.65,21.3,24.2,0.0,0.0,1.0,230,0.5217332983398437,True,REGULAR,USD,call
TLT270115C00062000,2026-08-17 19:34:27+00:00,62.0,19.46,18.05,22.2,0.0,0.0,24.0,18,0.48340360351562506,True,REGULAR,USD,call
TLT270115C00065000,2026-08-19 14:49:17+00:00,65.0,18.05,15.05,19.2,0.0,0.0,2.0,65,0.4272518212890626,True,REGULAR,USD,call
TLT270115C00070000,2026-08-19 15:26:30+00:00,70.0,12.8,11.95,12.25,0.0,0.0,20.0,803,0.1601646484375,True,REGULAR,USD,call
TLT270115C00072000,2026-08-20 19:46:34+00:00,72.0,10.54,10.05,10.25,0.0,0.0,3.0,223,0.13697152099609378,True,REGULAR,USD,call
TLT270115C00073000,2026-08-17 13:47:13+00:00,73.0,9.0,9.0,9.3,0.0,0.0,13.0,14,0.13257703369140628,True,REGULAR,USD,call
TLT270115C00075000,2026-08-21 13:30:03+00:00,75.0,7.49,7.2,7.5,-0.6500006,-7.9852653,3.0,7229,0.1289149609375,True,REGULAR,USD,call
TLT270115C00076000,2026-08-20 16:58:38+00:00,76.0,6.75,6.3,6.6,0.0,0.0,10.0,165,0.12378805908203125,True,REGULAR,USD,call
TLT270115C00077000,2026-08-19 15:44:03+00:00,77.0,6.37,5.5,5.8,0.0,0.0,20.0,104,0.12391012817382813,True,REGULAR,USD,call
TLT270115C00078000,2026-08-21 19:59:54+00:00,78.0,4.85,4.8,4.9,-0.3699999,-7.0881205,301.0,32,0.11487701538085937,True,REGULAR,USD,call
TLT270115C00079000,2026-08-21 18:24:46+00:00,79.0,4.1,4.1,4.15,-0.4500003,-9.890116,1.0,443,0.11292390991210938,True,REGULAR,USD,call
TLT270115C00080000,2026-08-21 19:54:51+00:00,80.0,3.4,3.4,3.5,-0.3499999,-9.333331,3394.0,33739,0.1132901171875,True,REGULAR,USD,call
TLT270115C00081000,2026-08-21 17:25:53+00:00,81.0,2.88,2.83,2.86,-0.21999979,-7.0967674,168.0,6793,0.11084873535156249,True,REGULAR,USD,call
TLT270115C00082000,2026-08-21 20:03:31+00:00,82.0,2.31,2.29,2.32,-0.28999996,-11.153845,298.0,4625,0.11011632080078124,True,REGULAR,USD,call
TLT270115C00083000,2026-08-21 19:58:05+00:00,83.0,1.84,1.83,1.86,-0.18999994,-9.359603,352.0,15354,0.1098721826171875,False,REGULAR,USD,call
TLT270115C00084000,2026-08-21 19:58:17+00:00,84.0,1.45,1.45,1.48,-0.15999997,-9.937885,193.0,14090,0.11023838989257811,False,REGULAR,USD,call
TLT270115C00085000,2026-08-21 19:56:45+00:00,85.0,1.15,1.14,1.17,-0.120000005,-9.448819,872.0,104035,0.11109287353515623,False,REGULAR,USD,call
TLT270115C00086000,2026-08-21 19:59:54+00:00,86.0,0.91,0.9,0.92,-0.099999964,-9.900987,935.0,13317,0.11219149536132811,False,REGULAR,USD,call
TLT270115C00087000,2026-08-21 19:28:11+00:00,87.0,0.71,0.71,0.73,-0.050000012,-6.5789485,60.0,35216,0.11402253173828125,False,REGULAR,USD,call
TLT270115C00088000,2026-08-21 19:29:08+00:00,88.0,0.56,0.56,0.58,-0.050000012,-8.196723,12.0,31426,0.116219775390625,False,REGULAR,USD,call
TLT270115C00089000,2026-08-21 19:39:31+00:00,89.0,0.45,0.45,0.46,-0.01000002,-2.1739173,33.0,9108,0.11829494995117187,False,REGULAR,USD,call
TLT270115C00090000,2026-08-21 20:13:30+00:00,90.0,0.36,0.36,0.37,-0.029999971,-7.692301,786.0,86748,0.12085840087890626,False,REGULAR,USD,call
TLT270115C00091000,2026-08-21 20:13:52+00:00,91.0,0.3,0.3,0.31,0.0,0.0,26.0,8577,0.12476461181640625,False,REGULAR,USD,call
