contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TLT261218C00070000,2026-04-20 13:52:50+00:00,70.0,17.14,16.6,16.75,0.0,0.0,1.0,73,0.15699085205078128,True,REGULAR,USD,call
TLT261218C00073000,2026-04-20 15:22:54+00:00,73.0,13.99,13.65,13.75,0.0,0.0,,15,0.13111220458984374,True,REGULAR,USD,call
TLT261218C00074000,2026-04-22 14:17:43+00:00,74.0,13.2,12.65,12.8,0.0,0.0,4.0,6,0.1289149609375,True,REGULAR,USD,call
TLT261218C00075000,2026-04-23 14:02:23+00:00,75.0,11.6,11.7,11.85,-0.6499996,-5.3061194,9.0,156,0.12549702636718751,True,REGULAR,USD,call
TLT261218C00076000,2026-04-20 14:09:58+00:00,76.0,11.19,10.8,10.95,0.0,0.0,5.0,95,0.1256190954589844,True,REGULAR,USD,call
TLT261218C00077000,2026-04-21 19:45:03+00:00,77.0,10.06,9.9,10.05,0.0,0.0,1.0,147,0.12391012817382813,True,REGULAR,USD,call
TLT261218C00078000,2026-03-31 19:37:49+00:00,78.0,9.79,9.0,9.15,0.0,0.0,14.0,31,0.12085840087890626,True,REGULAR,USD,call
TLT261218C00079000,2026-04-10 17:47:37+00:00,79.0,8.22,8.15,8.3,0.0,0.0,1.0,21,0.11963770996093749,True,REGULAR,USD,call
TLT261218C00080000,2026-04-23 19:02:28+00:00,80.0,7.38,7.35,7.5,-0.21999979,-2.8947341,14.0,358,0.11939357177734375,True,REGULAR,USD,call
TLT261218C00081000,2026-04-21 19:43:55+00:00,81.0,6.71,6.55,6.7,0.0,0.0,8.0,112,0.11744046630859376,True,REGULAR,USD,call
TLT261218C00082000,2026-04-22 13:42:29+00:00,82.0,6.25,5.8,6.0,0.0,0.0,4.0,216,0.11829494995117187,True,REGULAR,USD,call
TLT261218C00083000,2026-04-21 14:56:21+00:00,83.0,5.25,5.1,5.3,0.0,0.0,3.0,2195,0.11725736267089844,True,REGULAR,USD,call
