contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TLT260318C00085000,2026-03-06 15:05:58+00:00,85.0,3.29,4.2,4.35,0.0,0.0,8.0,4,0.213875048828125,True,REGULAR,USD,call
TLT260318C00085500,2026-03-09 14:54:04+00:00,85.5,3.23,3.75,3.85,-0.03999996,-1.2232404,42.0,28,0.194343994140625,True,REGULAR,USD,call
TLT260318C00086000,2026-03-09 19:54:01+00:00,86.0,3.44,3.25,3.4,0.6600001,23.74101,52.0,3,0.192390888671875,True,REGULAR,USD,call
TLT260318C00086500,2026-03-09 16:15:27+00:00,86.5,2.96,2.79,2.88,0.45000005,17.928288,8.0,17,0.16407085937500002,True,REGULAR,USD,call
TLT260318C00087000,2026-03-06 15:23:51+00:00,87.0,1.66,2.32,2.41,0.0,0.0,17.0,8,0.15137567382812503,True,REGULAR,USD,call
TLT260318C00087500,2026-03-09 19:54:01+00:00,87.5,2.0,1.89,1.95,0.53,36.054417,98.0,48,0.1381922119140625,True,REGULAR,USD,call
TLT260318C00088000,2026-03-09 17:40:38+00:00,88.0,1.32,1.48,1.53,0.110000014,9.09091,17.0,31,0.13037979003906247,True,REGULAR,USD,call
TLT260318C00088500,2026-03-09 18:26:16+00:00,88.5,0.97,1.12,1.14,0.19000006,24.358982,119.0,127,0.12207909179687501,True,REGULAR,USD,call
TLT260318C00089000,2026-03-09 19:00:52+00:00,89.0,0.85,0.8,0.82,0.29000002,51.785717,61.0,486,0.1186611572265625,True,REGULAR,USD,call
TLT260318C00089500,2026-03-09 18:20:35+00:00,89.5,0.47,0.54,0.57,0.0,0.0,195.0,31,0.118172880859375,False,REGULAR,USD,call
TLT260318C00090000,2026-03-09 19:49:16+00:00,90.0,0.41,0.37,0.39,0.120000005,41.37931,135.0,216,0.11988184814453123,False,REGULAR,USD,call
TLT260318C00090500,2026-03-09 19:48:45+00:00,90.5,0.27,0.24,0.26,0.08000001,42.10527,33.0,39,0.12207909179687501,False,REGULAR,USD,call
TLT260318C00091000,2026-03-09 18:19:26+00:00,91.0,0.18,0.16,0.18,0.040000007,28.571432,124.0,280,0.1274501318359375,False,REGULAR,USD,call
TLT260318C00091500,2026-03-09 19:48:56+00:00,91.5,0.13,0.12,0.13,0.019999996,18.181814,82.0,2,0.13428600097656251,False,REGULAR,USD,call
TLT260318C00092000,2026-03-09 19:39:10+00:00,92.0,0.09,0.09,0.1,-0.019999996,-18.181814,4.0,420,0.143563251953125,False,REGULAR,USD,call
TLT260318C00093000,2026-03-09 19:30:53+00:00,93.0,0.06,0.05,0.07,0.0,0.0,1378.0,327,0.165047412109375,False,REGULAR,USD,call
TLT260318C00093500,2026-03-09 20:03:20+00:00,93.5,0.05,0.05,0.06,0.0,0.0,5763.0,1156,0.1757894921875,False,REGULAR,USD,call
TLT260318C00094000,2026-03-09 17:27:36+00:00,94.0,0.04,0.04,0.05,0.0,0.0,43.0,1013,0.18360191406249998,False,REGULAR,USD,call
TLT260318C00094500,2026-03-09 19:39:03+00:00,94.5,0.04,0.03,0.04,0.0,0.0,32.0,79,0.1914143359375,False,REGULAR,USD,call
