contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TLT260522C00076000,2026-05-04 13:49:01+00:00,76.0,9.41,10.2,10.4,0.0,0.0,130.0,130,0.432622861328125,True,REGULAR,USD,call
TLT260522C00080000,2026-05-06 18:04:44+00:00,80.0,6.26,6.25,6.4,1.1100001,21.5534,37.0,23,0.2929758203124999,True,REGULAR,USD,call
TLT260522C00080500,2026-05-05 18:10:22+00:00,80.5,5.11,5.75,5.9,0.0,0.0,2.0,14,0.2749095947265625,True,REGULAR,USD,call
TLT260522C00081000,2026-05-06 16:51:27+00:00,81.0,5.23,5.25,5.4,0.6300001,13.695655,2.0,105,0.256843369140625,True,REGULAR,USD,call
TLT260522C00081500,2026-05-04 13:57:00+00:00,81.5,3.9,4.8,4.9,0.0,0.0,2.0,2,0.2387771435546875,True,REGULAR,USD,call
TLT260522C00082000,2026-05-06 19:20:42+00:00,82.0,4.34,4.3,4.4,0.6700001,18.256132,24.0,121,0.22022264160156246,True,REGULAR,USD,call
TLT260522C00082500,2026-05-05 19:06:11+00:00,82.5,3.24,3.8,3.95,0.0,0.0,3.0,5,0.2124102197265625,True,REGULAR,USD,call
TLT260522C00083000,2026-05-06 19:46:38+00:00,83.0,3.32,3.3,3.45,0.5799999,21.167881,13.0,10,0.1928791650390625,True,REGULAR,USD,call
TLT260522C00083500,2026-05-06 18:42:40+00:00,83.5,2.82,2.85,2.94,0.54999995,24.229073,5.0,13,0.17090672851562502,True,REGULAR,USD,call
TLT260522C00084000,2026-05-06 19:19:07+00:00,84.0,2.41,2.39,2.46,0.57000005,30.978262,195.0,1047,0.1538170556640625,True,REGULAR,USD,call
TLT260522C00084500,2026-05-06 18:04:44+00:00,84.5,1.96,1.95,2.02,0.49,33.333332,22.0,81,0.14234256103515625,True,REGULAR,USD,call
TLT260522C00085000,2026-05-06 19:55:20+00:00,85.0,1.54,1.55,1.58,0.42999995,38.738735,10.0,1053,0.127938408203125,True,REGULAR,USD,call
TLT260522C00085500,2026-05-06 18:13:31+00:00,85.5,1.15,1.18,1.19,0.35999995,45.569614,17.0,732,0.1176846044921875,True,REGULAR,USD,call
TLT260522C00086000,2026-05-06 18:03:24+00:00,86.0,0.83,0.85,0.86,0.26999998,48.214283,242.0,5497,0.11060459716796875,True,REGULAR,USD,call
